Sectorial Entidad Proyecto Fuente,,,,INICIAL,Codificado Enero,Devengado Enero,Pagado Enero,Codificado Febrero,Devengado Febrero,Pagado Febrero,Codificado Marzo,Devengado Marzo,Pagado Marzo,Codificado Abril,Devengado Abril,Pagado Abril,Codificado Mayo,Devengado Mayo,Pagado Mayo,Codificado Junio,Devengado Junio,Pagado Junio,Codificado Julio,Devengado Julio,Pagado Julio,Codificado Agosto,Devengado Agosto,Pagado Agosto,Codificado Septiembre,Devengado Septiembre,Pagado Septiembre,Codificado Octubre,Devengado Octubre,Pagado Octubre,Codificado Noviembre,Devengado Noviembre,Pagado Noviembre,Codificado Diciembre,Devengado Diciembre,Pagado Diciembre
,,019  - CONSTRUCCION DEL PARQUE DE AHUANO EN LA PARROQUIA AHUANO CANTON TENA PROVINCIA DE NAPO,202 - Préstamos Externos,0,0,0,0,1034244.58,0,0,1034244.58,0,0,1034244.58,0,0,1034244.58,0,0,1034244.58,0,0,1034244.58,0,0,1034244.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,024  - PROYECTO CIUDAD DEL CONOCIMIENTO,202 - Préstamos Externos,10000000,10000000,0,0,10000000,0,0,10000000,0,0,10000000,0,0,10000000,0,0,10000000,0,0,10000000,0,0,10000000,0,0,10000000,2370208.93,0,10000000,2370208.93,2370208.93,2370208.93,2370208.93,2370208.93,2370208.93,2370208.93,2370208.93
,,077  - PROYECTO DE DESARROLLO MINERO   SAN FRANCISCO DE,202 - Préstamos Externos,129134.64,129134.64,0,0,129134.64,0,0,129134.64,0,0,129134.64,0,0,129134.64,0,0,51597.15,0,0,51597.15,0,0,51597.15,0,0,51597.15,0,0,51597.15,0,0,51597.15,0,0,51597.15,0,0
,,078  - SOSTENIBILIDAD FINANCIERA  TECNICA Y OPERACIONAL D,202 - Préstamos Externos,2634228,2634228,0,0,2634228,0,0,2634228,0,0,2634228,0,0,2634228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,081  - CONSTRUCCION DEL MALECON DEL MARGEN IZQUIERDO  AGU,202 - Préstamos Externos,500000,500000,0,0,1869224.25,0,0,1869224.25,0,0,1869224.25,0,0,1869224.25,0,0,1869224.25,0,0,1869224.25,1212302.33,635434.49,1869224.25,1212302.33,635434.49,1212302.33,1212302.33,635434.49,1212302.33,1212302.33,1212302.33,1212302.33,1212302.33,1212302.33,1212302.33,1212302.33,1212302.33
,,085  - PROYECTO HABITACIONAL GUAYAQUIL DE MIS AMORES,202 - Préstamos Externos,0,0,0,0,6043310,0,0,6043310,0,0,6043310,0,0,6043310,0,0,4656101.06,0,0,4656101.06,0,0,4656101.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,086  - DESVINCULACION DE PERSONAL DE 8 EMPRESAS PUBLICAS COORDINADAS POR EMCO EP PARA OPTIMIZAR EL TAMAÑO DEL ESTADO,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38426535.73,38426535.73,0,38426535.73,38426535.73,0,38426535.73,38426535.73,22919624.37,38426535.73,38426535.73,38426535.73,38426535.73,38426535.73,38426535.73,38426535.73,38426535.73,38426535.73
01 - SECTORIAL LEGISLATIVO,001 - ASAMBLEA NACIONAL,001  - FORTALECIMIENTO DE LA COPARTICIPACION CIUDADANA EN EL PROCESO DE FORMACION DE LA LEY,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,002  - PROYECTO DE OPTIMIZACION DEL TALENTO HUMANO DE LA ASAMBLEA NACIONAL,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1931660,0,0,1931660,0,0,1931660,1830326.2,1830326.2,1931660,1878576.4,1878576.4,1931660,1878576.4,1878576.4,1931660,1878576.4,1878576.4,1931660,1931660,1931660
02 - SECTORIAL JURISDICCIONAL,010 - CONSEJO DE LA JUDICATURA,001  - CREACION Y MEJORAMIENTO DE LA INFRAESTRUCTURA CIVIL JUDICIAL AJUSTADA AL NUEVO MODELO DE GESTION DE LA JUSTICIA.,202 - Préstamos Externos,0,491024.03,0,0,491024.03,51699.54,49687.05,491024.03,75793.55,55259.88,450610.11,78367.29,78367.29,450610.11,122838.09,101474.72,450610.11,124591.11,124591.11,450610.11,169704.84,147969.02,450610.11,174949.47,174949.47,430063.11,223263.22,199986.2,360311.55,250059.66,248299.95,390328.2,280045.48,250059.66,390328.2,323602.95,323602.95
,,003  - IMPULSAR LA MEJORA PERMANENTE Y MODERNIZACION DE L,202 - Préstamos Externos,3000000,8166618.8,0,0,8166618.8,22755.68,21633.16,8166618.8,33921.84,22755.68,8166618.8,33921.84,33921.84,6966618.8,55848.5,45088,6966618.8,56254.16,56254.16,6966618.8,295990.14,90142.58,6966618.8,308396.73,106347.06,6966618.8,335021.54,157010.35,6939525.12,397236.9,356324.6,6951616.8,594536.2,413419.58,5186083.71,1348396.42,602383.71
,,,701 - Asistencia Tecnica y Donaciones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,998 - ANTICIPOS DE EJERCICIOS ANTERIORES,0,0,0,0,0,0,0,2447880.08,0,0,2447880.08,0,0,2447880.08,0,0,2447880.08,0,0,2447880.08,0,0,2447880.08,0,0,2447880.08,0,0,2447880.08,0,0,2447880.08,98580.96,98580.96,2447880.08,352264.3,98580.96
,,005  - COMBATIR LA IMPUNIDAD DE LOS DELITOS A NIVEL NACIO,202 - Préstamos Externos,2000000,13259.97,0,0,13259.97,0,0,13259.97,0,0,53673.89,0,0,53673.89,7317.17,7317.17,53673.89,7317.17,7317.17,53673.89,32807.77,32807.77,147100.9,32807.77,32807.77,147100.9,39026.82,34431.05,148328.42,39026.82,39026.82,148328.42,124378.68,48171.66,135068.45,133845.52,57638.5
,,,998 - ANTICIPOS DE EJERCICIOS ANTERIORES,0,0,0,0,0,0,0,585187.05,0,0,585187.05,0,0,585187.05,0,0,585187.05,0,0,585187.05,0,0,585187.05,0,0,585187.05,0,0,585187.05,0,0,585187.05,0,0,585187.05,70299.38,70299.38
,,006  - DESVINCULACION DE SERVIDORES DEL CONSEJO DE LA JUDICATURA A NIVEL NACIONAL,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1724422.5,1635775,1635775
,,006  - PLAN ARTICULADO DE OPTIMIZACION DE UNIDADES JUDICI,202 - Préstamos Externos,408920.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2240,0,0,2240,0,0,2240,0,0,2240,0,0,2240,0,0
,,007  - PROGRAMA DE REFORMA INSTITUCIONAL DE LA GESTION PUBLICA,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1598482.52,560553.25,415551.5,1598482.52,1420508.52,1420508.52,9133376.96,1595716.19,1544049.52,9108676.96,8987989.94,8987989.94
,,099  - ANTICIPO POR DEVENGAR DE EJERCICIOS ANTERIORES,001 - Recursos Fiscales,3757068.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,591  - CREACION Y MEJORAMIENTO DE LA INFRAESTRUCTURA CIVI,202 - Préstamos Externos,3782502.91,552843.6,0,0,552843.6,0,0,552843.6,0,0,552843.6,0,0,552843.6,0,0,552843.6,0,0,552843.6,43913.96,5745.52,457176.59,43913.96,5745.52,457176.59,43913.96,9840.31,455949.07,43913.96,43913.96,450949.39,53467.79,45402.87,505319.95,59960.43,59960.43
,,,998 - ANTICIPOS DE EJERCICIOS ANTERIORES,0,0,0,0,0,0,0,724001.69,0,0,724001.69,0,0,724001.69,0,0,724001.69,0,0,724001.69,9710.88,0,724001.69,9710.88,0,724001.69,9710.88,0,724001.69,9710.88,9710.88,724001.69,14053.53,9710.88,724001.69,17004.73,17004.73
,,593  - CONSOLIDACION DE LA TRANSFORMACION Y CALIDAD DE LO,202 - Préstamos Externos,32323.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,015 - DEFENSORIA PUBLICA,006  - MEJORAMIENTO DE LOS SERVICIOS DE LAS AREAS AGREGAD,202 - Préstamos Externos,104671.11,104671.11,0,0,104671.11,0,0,104671.11,0,0,104671.11,0,0,104671.11,0,0,104671.11,0,0,104671.11,0,0,104671.11,0,0,104671.11,0,0,104671.11,0,0,104671.11,0,0,104671.11,11836.16,11836.16
,,007  - REHABILITACION DEL EDIFICIO DE LA DEFENSORIA PUBLI,001 - Recursos Fiscales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,202 - Préstamos Externos,610880,610880,0,0,610880,0,0,610880,0,0,610880,0,0,610880,0,0,610880,0,0,610880,0,0,55842.75,0,0,55842.75,0,0,55842.75,0,0,315466.74,0,0,315466.74,161128.11,26854.68
,,,998 - ANTICIPOS DE EJERCICIOS ANTERIORES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92075.28,89515.62,0
,,008  - ESTUDIOS PARA LA CONSTRUCCION DEL EDIFICIO DE LA D,202 - Préstamos Externos,35850,35850,0,0,35850,0,0,35850,0,0,35850,0,0,35850,0,0,35850,0,0,35850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,581 - CORTE CONSTITUCIONAL,001  - PROGRAMA DE REFORMA INSTITUCIONAL DE LA GESTION PUBLICA,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108978.95,1073874.07,1073874.07,1226101.95,1190997.07,1190997.07
,598 - FISCALIA GENERAL DEL ESTADO,001  - MEJORA DE LOS SERVICIOS DE INVESTIGACION PENAL PAR,202 - Préstamos Externos,993703.3,993703.3,0,0,993703.3,0,0,993703.3,0,0,993703.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,005  - MEJORAMIENTO DE LA GESTION OPERATIVA DE LA FISCALI,202 - Préstamos Externos,955038.84,955038.84,0,0,955038.84,0,0,955038.84,0,0,955038.84,0,0,955038.84,43935.06,38315.47,863677.32,43935.06,43935.06,863677.32,120709.25,58792.55,863677.32,120709.25,120709.25,350367.26,120709.25,120709.25,350367.26,145653.98,125682.74,350367.26,192412.68,130692.6,350367.26,203051.56,139453.72
,,,998 - ANTICIPOS DE EJERCICIOS ANTERIORES,0,0,0,0,88989.82,0,0,88989.82,0,0,88989.82,0,0,88989.82,5619.58,0,88989.82,5619.58,5619.58,88989.82,67515.3,5619.58,88989.82,67515.3,67515.3,88989.82,67515.3,67515.3,88989.82,88989.82,67515.3,88989.82,88989.82,67515.3,88989.82,88989.82,88989.82
,,006  - READECUACION DE LAS INFRAESTRUCTURAS DE LA FISCALI,202 - Préstamos Externos,164608.1,164608.1,0,0,164608.1,0,0,164608.1,0,0,164608.1,0,0,164608.1,0,0,255969.62,0,0,255969.62,0,0,255969.62,0,0,255969.62,0,0,255969.62,0,0,255969.62,0,0,255969.62,15348.48,15348.48
,,007  - RENOVACION PARQUE TECNOLOGICO FISCALIA GENERAL DEL ESTADO PARA APOYAR EN LA INVESTIGACION PRE PROCESAL Y PROCES,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522604.52,0,0,1522604.52,0,0,1522604.52,0,0,1393530.88,0,0
03 - SECTORIAL ADMINISTRATIVO,020 - PRESIDENCIA DE LA REPUBLICA,007  - DESARROLLO E IMPLEMENTACION DE MECANISMOS DE INFOR,202 - Préstamos Externos,2610330.79,2610330.79,0,0,2610330.79,11750.19,11750.19,2610330.79,11750.19,11750.19,2610330.79,11750.19,11750.19,2610330.79,26158.3,26158.3,2610330.79,33513.79,33513.79,2610330.79,40186.22,40186.22,488568.28,56243.96,48025.91,488568.28,62916.39,56445.88,488568.28,69588.82,69588.82,488568.28,70693.24,70195.33,97976.14,92748.03,92748.03
,,010  - IMPLEMENTACION DE LA AGENDA NACIONAL DE EVENTOS AR,202 - Préstamos Externos,5795024.18,5795024.18,0,0,5795024.18,0,0,5795024.18,0,0,3215708.98,0,0,104385.16,0,0,104385.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,021 - VICEPRESIDENCIA DE LA REPUBLICA,001  - PROGRAMA DE REFORMA INSTITUCIONAL DE LA GESTION PUBLICA,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155955.99,155955.99,155955.99
,034 - SERVICIO NACIONAL DE GESTION DE RIESGOS Y EMERGENCIAS,001  - ENCAUZAMIENTO Y PROTECCION DE LA QUEDRADA LAS TOTO,202 - Préstamos Externos,4693899.75,4810079.37,5519.3,591.35,4810079.37,182702.92,128734.82,4179345.38,188546.92,129360.96,4179345.38,188546.92,134578.82,4179345.38,188546.92,134578.82,4179345.38,188546.92,134578.82,4179345.38,188546.92,134578.82,2114270.21,188546.92,134578.82,2114270.21,188546.92,134578.82,2114270.21,188546.92,188546.92,2114270.21,188546.92,188546.92,231705.92,188546.92,188546.92
,,,998 - ANTICIPOS DE EJERCICIOS ANTERIORES,0,2690375.13,0,0,2690375.13,208427.9,82500,2690375.13,208427.9,82500,2690375.13,208427.9,82500,2690375.13,208427.9,82500,2690375.13,208427.9,82500,2690375.13,208427.9,82500,2690375.13,208427.9,82500,2690375.13,208427.9,82500,2690375.13,208427.9,208427.9,2690375.13,208427.9,208427.9,2690375.13,208427.9,208427.9
,,001  - SISTEMA NACIONAL DESCENTRALIZADO DE LA GESTION DEL,202 - Préstamos Externos,5307620.8,6999128.4,0,0,1691507.6,250183.92,40367.22,1987320.34,252780.92,40645.47,1987320.34,252780.92,60665.3,1782320.34,252780.92,60665.3,1782320.34,252780.92,60665.3,1782320.34,252780.92,60665.3,1442607.13,252780.92,60665.3,1442607.13,252780.92,60665.3,1442607.13,252780.92,252780.92,1442607.13,253609.72,252869.72,910431.13,319705.4,260691.4
,,,998 - ANTICIPOS DE EJERCICIOS ANTERIORES,0,214560.78,0,0,214560.78,214560.78,0,214560.78,214560.78,0,214560.78,214560.78,0,214560.78,214560.78,0,214560.78,214560.78,0,214560.78,214560.78,0,214560.78,214560.78,0,214560.78,214560.78,0,214560.78,214560.78,214560.78,214560.78,214560.78,214560.78,214560.78,214560.78,214560.78
,,002  - PROYECTO NACIONAL DE GESTION DEL RIESGO PARA EL HABITAT Y LA VIVIENDA,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302112,0,0,302112,0,0,302112,0,0,302112,0,0,302112,0,0
,,,998 - ANTICIPOS DE EJERCICIOS ANTERIORES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236025,0,0,236025,0,0,236025,0,0,236025,0,0,236025,0,0,236025,0,0,236025,0,0
,,003  - PROGRAMA DE PREVENCION Y MITIGACION PARA REDUCIR E,202 - Préstamos Externos,136337.42,136337.42,49075.81,5258.12,136337.42,49075.81,49075.81,136337.42,49075.81,49075.81,136337.42,49075.81,49075.81,136337.42,49075.81,49075.81,136337.42,49075.81,49075.81,136337.42,49075.81,49075.81,136337.42,49075.81,49075.81,136337.42,49075.81,49075.81,136337.42,49075.81,49075.81,136337.42,49075.81,49075.81,93178.42,64075.81,49075.81
,,008  - PROGRAMA DE LIQUIDACION Y EJECUCION DE OBRAS POR C,202 - Préstamos Externos,2037687.22,230000,0,0,230000,0,0,131996.23,0,0,131996.23,0,0,131996.23,0,0,131996.23,0,0,131996.23,0,0,430922.07,0,0,430922.07,0,0,430922.07,0,0,430922.07,0,0,0,0,0
,,,998 - ANTICIPOS DE EJERCICIOS ANTERIORES,0,0,0,0,51478.49,0,0,51478.49,0,0,51478.49,0,0,51478.49,0,0,51478.49,0,0,51478.49,0,0,51478.49,0,0,51478.49,0,0,51478.49,0,0,51478.49,0,0,51478.49,0,0
,,099  - ANTICIPO POR DEVENGAR DE EJERCICIOS ANTERIORES,202 - Préstamos Externos,288690.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,038 - SECRETARIA TECNICA DEL PLAN TODA UNA VIDA,001  - PROGRAMA DE REFORMA INSTITUCIONAL DE LA GESTION PUBLICA,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42528,42528,42528,42528,42528,42528,98525.47,42528,42528,98525.47,98525.47,98525.47,98525.47,98525.47,98525.47,98525.47,98525.47,98525.47
,,001  - PUESTA EN MARCHA Y DESARROLLO DE INSTRUMENTOS PARA LA GESTION DE LA ESTRATEGIA DE DESARROLLO INFANTIL,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,7952,0,0,7952,0,0,7952,0,0,7952,0,0,7952,0,0,7952,0,0,7952,0,0,14301.5,14301.49,14301.49
,,002  - ESTRATEGIA INTERSECTORIAL DE PREVENCION DE EMBARAZO ADOLESCENTE Y PLANIFICACION FAMILIAR,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164138.88,163229.57,163229.57
,,002  - MEJORAMIENTO DE LOS SERVICIOS SOCIALES PARA GARANTIZAR UNA VIDA DIGNA PARA TODAS Y TODOS - SERVICIOS SOCIALES DI,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,003  - APOYO A LA CONSTRUCCION DE LA PROPUESTA ECUATORIANA DE SEGURIDAD SOCIAL PARA CUMPLIR CON EL MANDATO CONSTITUCION,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512,1512,1512
,,003  - FORTALECIMIENTO DE LAS CAPACIDADES DEL GOBIERNO ECUATORIANO PARA EL DISEÑO Y EJECUCIÓN DE PROGRAMAS Y POLITICAS SO,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70202.38,70202.38,70202.38
,,004  - MEJORAMIENTO DE LA CALIDAD DE ATENCION DEL SISTEMA DE PROTECCION A VICTIMAS DE VIOLENCIA DE GENERO A PARTIR DEL,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474.39,474.39,474.39
,,006  - PROYECTO EMBLEMATICO ACCION NUTRICION,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05
,,010  - PLAN TODA UNA VIDA,202 - Préstamos Externos,7500000,7500000,315470.62,2835.4,7500000,676414.05,676414.05,7500000,1072888.9,702305.18,7500000,1417988.49,1089740.79,7492048,1762802.1,1435463.24,6505064.34,2052522.23,1781198.03,6505064.34,2073871.92,2070788.98,6420614.45,2429672.44,2416377.56,6420614.45,3107560.01,2734892.29,6028192.28,3642412.81,3457437.39,5818234.9,4165008.2,3686221.71,5298426.98,5015256.68,5003016.68
,,011  - REMODELACION ADECUACION Y EQUIPAMIENTO DEL EDIFICIO DANTE PARA EL MINISTERIO DE COORDINACION DE DESARROLLO SOCIA,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92176.34,49578.08,49578.08
,,013  - PROYECTO DE VIVIENDA CASA PARA TODOS,202 - Préstamos Externos,0,2829728.55,110943.12,750.5,2829728.55,229182.43,229182.43,2829728.55,375578.79,235504.83,2829728.55,502961.77,380265.2,2829728.55,629254.22,507816,2829728.55,728226.14,634177.12,2505737.56,733495.17,732612.47,2505631.89,839199.56,839199.56,2505631.89,1046512.9,943660.93,1792730.57,1169901.36,1169581.36,1639493.65,1295398.23,1183873.25,1550540.7,1536464.37,1536464.37
,,015  - INCREMENTO DE COBERTURA Y CALIDAD DE LOS SERVICIOS DE LA MISION MIS MEJORES AÑOS,202 - Préstamos Externos,0,499968.43,124421.31,1852.72,499968.43,250694.8,250694.8,499968.43,253967.1,250800.41,499968.43,257133.79,253967.1,499968.43,258971.52,257133.79,499968.43,258971.52,258971.52,499968.43,258971.52,258971.52,419655.23,274639.74,259373.76,419655.23,335103.71,335103.71,419655.23,383211.32,383211.32,419383.85,389469.62,388764.62,401591.76,398288.54,398288.54
,039 - SERVICIO NACIONAL DE CONTRATACION PUBLICA - SERCOP,001  - ASEGURAMIENTO DE LA DISPONIBILIDAD DEL SISTEMA OFI,202 - Préstamos Externos,1095984.1,1095984.1,0,0,696636.91,0,0,106400,0,0,106400,0,0,26182.51,0,0,26182.51,0,0,26182.51,26182.51,2805.27,26182.51,26182.51,2805.27,26182.51,26182.51,26182.51,26182.51,26182.51,26182.51,26182.51,26182.51,26182.51,26182.51,26182.51,26182.51
,,001  - EJECUCION DEL PROCEDIMIENTO DE COMPRA CORPORATIVA,202 - Préstamos Externos,1222508,941163.57,68378.03,68378.03,1340510.76,138305.27,138305.27,1236858.62,206394.78,139854.48,1221858.62,209781.72,209781.72,1071010.76,346193.43,278812.66,1071010.76,347761.47,347761.47,1065010.76,415305.54,408737.06,1065010.76,490325.36,485425.36,1065010.76,603152.99,549314.11,1026704.55,703333.38,611677.89,1004722.41,773864.42,682208.93,929823.31,917823.05,849938.55
,,001  - PROGRAMA DE REFORMA INSTITUCIONAL DE LA GESTION PUBLICA,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199111.57,199111.57,199111.57
,064 - INSTITUTO NACIONAL DE ESTADISTICAS Y CENSOS,001  - PROGRAMA DE REFORMA INSTITUCIONAL DE LA GESTION PUBLICA,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1859745.66,106850,15550,1859745.66,1859745.66,1859745.66,1859745.66,1859745.66,1859745.66,1859745.66,1859745.66,1859745.66,1859745.66,1859745.66,1859745.66
