id,text,G13T,target_non_classified,G4T1,G4T9,G1T1,G1T3,G8T7,G1T2,G9T,G16T,G8T6,G9T5,G16T1,G11T,G2T2,G14T5,G8T5,G15T1,G9T7,G12T,G1T,G4T3,G4T5,G4T6,G13T2,G7T,G3T12,G7,G15,G1,G11,G2,sdg_non_classified,G12,G16,G3,G8,G14,G4,G13,G9
BASE-O-24,agencia nacional de regulacion y control del transporte terrestre transito y seguridad vial proyecto de seguridad integral para el transporte publico y comercial regulacion y control del transporte terrestre transito y seguridad vial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-25,agencia nacional de regulacion y control del transporte terrestre transito y seguridad vial proyecto para el fortalecimiento y mejora de la calidad del servicio de transporte urbano en el ecuador regulacion y control del transporte terrestre transito y seguridad vial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-26,agencia nacional de regulacion y control del transporte terrestre transito y seguridad vial remodelacion y mejoramiento para las nuevas instalaciones de cntttsv y agencia de transito quito norte regulacion y control del transporte terrestre transito y seguridad vial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-27,agencia nacional de regulacion y control del transporte terrestre transito y seguridad vial implementacion de sistemas de control de transito para mejoramiento de la movilidad terrestre y seguridad vial en el ecuador regulacion y control del transporte terrestre transito y seguridad vial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-28,agencia nacional de regulacion y control del transporte terrestre transito y seguridad vial implementacion del sistema nacional de registro electronico vehicular regulacion y control del transporte terrestre transito y seguridad vial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-29,agencia nacional postal estudios de factibilidad de la reforma del sector postal administracion central,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-30,agencia nacional postal propuesta de implementacion del sistema de codigo postal en el ecuador a nivel de manzana regulacion y control del sector postal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-31,agencia nacional postal sistema de control y regulacion de la gestion de operaciones postales regulacion y control del sector postal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-32,"asamblea nacional implementacion del sistema institucional de radio y television de la asamblea nacional ""rtv legislativo"" administracion central",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-33,asamblea nacional diseno y construccion del complejo legislativo de la asamblea nacional administracion central,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-34,asamblea nacional proyecto de optimizacion del talento humano administracion central,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-35,asamblea nacional fortalecimiento e innovacion de tecnologia desarrollo de programacion produccion y crecimiento de audiencia de la radio de la asamblea nacional gestion legislativa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-36,asamblea nacional ? ?fortalecimiento de la gestion gegislativa a traves de la generacion de capacidades especializadas para la legislacion fiscalizacion y pensamiento politico estrategico? gestion legislativa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-37,asamblea nacional proyecto fortalecimiento consolidacion y posicionamiento de la comunicacion legislativa de la asamblea nacional gestion legislativa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-38,autoridad portuaria de guayaquil fortalecimiento de la infraestructura tecnologica de la autoridad portuaria de guayaquil administracion central,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-39,autoridad portuaria de guayaquil implementacion de vts control de trafico maritimo desarrollo y servicios portuarios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-40,autoridad portuaria de guayaquil dragado de mantenimiento del canal de navegacion desarrollo y servicios portuarios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-41,autoridad portuaria de puerto bolivar construccion de la via alterna de ingreso a puerto bolivar administracion central,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-42,autoridad portuaria de puerto bolivar ampliacion del terminal maritimo internacional denominado construccion de atracadero desarrollo y servicios portuarios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-43,casa de la cultura ecuatoriana benjamin carrion implementacion de las redes culturales de la casa de la cultura ecuatoriana fase bibliotecas y cinemateca fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-44,casa de la cultura ecuatoriana benjamin carrion modernizacion de los sistemas de iluminacion sonido butacas y pisos de las salas demetrio aguilera malta jorge icaza benjamin carrion teatro prometeo de la casa de la cultura ecuatoriana benjamin carrion fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-45,casa de la cultura ecuatoriana benjamin carrion implementacion de catalogacion automatizacion e inventario del material bibliografico de la biblioteca nacional eugenio espejo fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-46,casa de la cultura ecuatoriana benjamin carrion fortalecimiento de la infraestructura fisica y tecnica en la cinemateca nacional de la casa de la cultura ecuatoriana para la conservacion procesamiento y difusion de las imagenes en movimiento nacionales que constituyen patrimonio cultural del estado fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-47,casa de la cultura ecuatoriana benjamin carrion reparacion emergente de la cubierta de la membrana del agora y la pantalla de vidrio del edificio de los espejos de la casa de la cultura ecuatoriana benjamin carrion sede nacional fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-48,casa de la cultura ecuatoriana benjamin carrion modernizacion del fondo editorial pedro jorge vera de la casa de la cultura ecuatoriana benjamin carrion tercera etapa ano fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-49,casa de la cultura ecuatoriana benjamin carrion realizacion y promocion de exposiciones autorales y promocionales en la casa de la cultura ecuatoriana fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-50,casa de la cultura ecuatoriana benjamin carrion implementacion de una biblioteca virtual en la casa de la cultura ecuatoriana benjamin carrion matriz quito fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-51,casa de la cultura ecuatoriana benjamin carrion ejecucion de talleres de dibujo y pintura en el area de la mujer de la casa de la cultura ecuatoriana benjamin carrion matriz quito fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-52,casa de la cultura ecuatoriana nucleo de bolivar creacion de la orquesta sinfonica infanto juvenil de la provincia de bolivar fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-53,casa de la cultura ecuatoriana nucleo de canar construccion de la extension cantonal de canar de la casa de la cultura fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-54,casa de la cultura ecuatoriana nucleo de canar orquesta de personas con capacidades especiales de la casa de la cultura ecuatoriana benjamin carrion nucleo del canar fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-55,casa de la cultura ecuatoriana nucleo de canar iconstruccion de la extension de la casa de la cultura en la troncal fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-56,casa de la cultura ecuatoriana nucleo de chimborazo creacion de la esculea de artes y oficios de la casa de la cultura en los cantones de la provincia administracion central,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-57,casa de la cultura ecuatoriana nucleo de cotopaxi segunda etapa de la ampliacion del teatro de la casa de la cultura nucleo de cotopaxi administracion central,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-58,casa de la cultura ecuatoriana nucleo de cotopaxi implementar el servicio de internet en la biblioteca de la casa de la cultura nucleo de cotopaxi administracion central,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-59,casa de la cultura ecuatoriana nucleo de cotopaxi fortalecer la formacion cultural de ninos y jovenes en la ciudad de latacunga administracion central,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-60,casa de la cultura ecuatoriana nucleo de el oro radio machala de la casa de la cultura ecuatoriana nucleo de el oro fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-61,casa de la cultura ecuatoriana nucleo de el oro proyecto ?adquisicion adecuacion y operatividad de la sala de teatro de uso multiple de la casa de la cultura ecuatoriana nucleo del canton pasaje? fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-62,casa de la cultura ecuatoriana nucleo de el oro construccion de centro cultural binacional fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-63,casa de la cultura ecuatoriana nucleo de el oro creacion del archivo historico de la provincia de el oro fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-64,casa de la cultura ecuatoriana nucleo de galapagos implementacion de la biblioteca estudiantil multimedia en la cce nucleo de galapagos administracion central,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-65,casa de la cultura ecuatoriana nucleo de galapagos iimplementacion de servicios culturales para el desarrollo integral en la provincia de galapagos fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-66,casa de la cultura ecuatoriana nucleo de galapagos estudios tecnicos para la construccion de la sede de la casa de la cultura nucleo de galapagos fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-67,casa de la cultura ecuatoriana nucleo de guayas programa de difusion de la memoria musical ecuatoriana fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-68,"casa de la cultura ecuatoriana nucleo de guayas quincuagesima edicion del salon de octubre ""independencia de guayaquil"" pintura fomento desarrollo y difusion cultural",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-69,casa de la cultura ecuatoriana nucleo de guayas material didactico para difusion del patrimonio artistico de la casa de la cultura nucleo del guayas fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-70,casa de la cultura ecuatoriana nucleo de loja actualizacion de la historia de loja y su provincia fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-71,casa de la cultura ecuatoriana nucleo de los rios creo en ti los rios fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-72,casa de la cultura ecuatoriana nucleo de los rios creacion de la banda sinfonica infanto juvenil de los rios fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-73,casa de la cultura ecuatoriana nucleo de morona santiago formando semilleros del arte en morona santiago fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-74,casa de la cultura ecuatoriana nucleo de napo conformacion banda orquesta sinfonica infnto juvenil de napo fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-75,casa de la cultura ecuatoriana nucleo de napo primera etapa de terminados aulas talleres casa cultura ecuatoriana nucleo del napo fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-76,casa de la cultura ecuatoriana nucleo de napo construccion del primero y segundo piso de las aulas talleres de la casa de la cultura ecuatoriana benjamin carrion nucleo de napo fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-77,casa de la cultura ecuatoriana nucleo de orellana reprogramacion presupuestaria administracion central,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-78,casa de la cultura ecuatoriana nucleo de orellana crear y equipar el area de impresion y publicacion de la casa de la cultura ?benjamin carrion? nucleo de orellana administracion central,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-79,casa de la cultura ecuatoriana nucleo de orellana culminacion del centro de difusion cultural de la casa de la cultura ecuatoriana ?benjamin carrion? nucleo de orellana en su tercera fase administracion central,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-80,casa de la cultura ecuatoriana nucleo de pastaza implementacion de talleres de artes para las extensiones de parroquias rurales ubicadas en los cantones de pastaza mera arajuno de la provincia de pastaza fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-81,casa de la cultura ecuatoriana nucleo de pastaza habilitacion de espacios fisicos para biblioteca museo talleres permanentes y otros servicios culturales de las artes de la cce nucleo de pastaza fomento desarrollo y difusion cultural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-82,casa de la cultura ecuatoriana nucleo de sto domingo realizacion de los estudios tecnicos y de arquitectura para la construccion de un centro cultural en la ciudad de santo domingo de los tsachilas administracion central,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-83,casa de la cultura ecuatoriana nucleo de sto domingo edificacion del edificio cultural benjamin carrion santo domingo administracion central,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
