id,text,lemmas
G2T4,"Poner fin al hambre. Para 2030, asegurar la sostenibilidad de los sistemas de producción de alimentos y aplicar prácticas agrícolas resilientes que aumenten la productividad y la producción, contribuyan al mantenimiento de los ecosistemas, fortalezcan la capacidad de adaptación al cambio climático, los fenómenos meteorológicos extremos, las sequías, las inundaciones y otros desastres, y mejoren progresivamente la calidad del suelo y la tierra. Poner fin al hambre","[('poner', 'VERB'), ('fin', 'NOUN'), ('al', 'ADP'), ('hambre', 'NOUN'), ('.', 'PUNCT'), ('para', 'ADP'), ('2030', 'NUM'), (',', 'PUNCT'), ('asegurar', 'VERB'), ('el', 'DET'), ('sostenibilidad', 'NOUN'), ('de', 'ADP'), ('sistema', 'NOUN'), ('producción', 'NOUN'), ('alimento', 'NOUN'), ('y', 'CCONJ'), ('aplicar', 'VERB'), ('práctica', 'NOUN'), ('agrícola', 'ADJ'), ('resilient', 'ADJ'), ('que', 'PRON'), ('aumentar', 'VERB'), ('productividad', 'NOUN'), ('contribuyan', 'VERB'), ('mantenimiento', 'NOUN'), ('ecosistema', 'NOUN'), ('fortalezcan', 'VERB'), ('capacidad', 'NOUN'), ('adaptación', 'NOUN'), ('cambio', 'NOUN'), ('climático', 'ADJ'), ('fenómeno', 'NOUN'), ('meteorológico', 'ADJ'), ('extremo', 'ADJ'), ('sequía', 'NOUN'), ('inundación', 'NOUN'), ('otro', 'DET'), ('desastre', 'NOUN'), ('mejoren', 'VERB'), ('progresivamente', 'ADV'), ('calidad', 'NOUN'), ('del', 'ADP'), ('suelo', 'NOUN'), ('tierra', 'NOUN')]"
G2T5,"Poner fin al hambre. Para 2020, mantener la diversidad genética de las semillas, las plantas cultivadas y los animales de granja y domesticados y sus especies silvestres conexas, entre otras cosas mediante una buena gestión y diversificación de los bancos de semillas y plantas a nivel nacional, regional e internacional, y promover el acceso a los beneficios que se deriven de la utilización de los recursos genéticos y los conocimientos tradicionales y su distribución justa y equitativa, como se ha convenido internacionalmente. Poner fin al hambre","[('poner', 'VERB'), ('fin', 'NOUN'), ('al', 'ADP'), ('hambre', 'NOUN'), ('.', 'PUNCT'), ('para', 'ADP'), ('2020', 'NOUN'), (',', 'PUNCT'), ('mantener', 'VERB'), ('el', 'DET'), ('diversidad', 'NOUN'), ('genético', 'ADJ'), ('de', 'ADP'), ('semilla', 'NOUN'), ('planta', 'NOUN'), ('cultivado', 'ADJ'), ('y', 'CCONJ'), ('animal', 'NOUN'), ('granja', 'NOUN'), ('domesticado', 'ADJ'), ('su', 'DET'), ('especie', 'NOUN'), ('silvestr', 'ADJ'), ('conexa', 'ADJ'), ('entre', 'ADP'), ('otro', 'DET'), ('cosa', 'NOUN'), ('mediante', 'ADP'), ('uno', 'DET'), ('buen', 'ADJ'), ('gestión', 'NOUN'), ('diversificación', 'NOUN'), ('banco', 'NOUN'), ('a', 'ADP'), ('nivel', 'NOUN'), ('nacional', 'ADJ'), ('regional', 'ADJ'), ('e', 'CCONJ'), ('internacional', 'ADJ'), ('promover', 'VERB'), ('acceso', 'NOUN'), ('beneficio', 'NOUN'), ('que', 'PRON'), ('él', 'PRON'), ('derivar', 'VERB'), ('utilización', 'NOUN'), ('recurso', 'NOUN'), ('conocimiento', 'NOUN'), ('tradicional', 'ADJ'), ('distribución', 'NOUN'), ('justo', 'ADJ'), ('equitativo', 'ADJ'), ('como', 'SCONJ'), ('haber', 'AUX'), ('convenir', 'VERB'), ('internacionalmente', 'ADV')]"
G2T6,"Poner fin al hambre. Aumentar las inversiones, incluso mediante una mayor cooperación internacional, en la infraestructura rural, la investigación agrícola y los servicios de extensión, el desarrollo tecnológico y los bancos de genes de plantas y ganado a fin de mejorar la capacidad de producción agrícola en los países en desarrollo, en particular en los países menos adelantados. Poner fin al hambre","[('poner', 'VERB'), ('fin', 'NOUN'), ('al', 'ADP'), ('hambre', 'NOUN'), ('.', 'PUNCT'), ('aumentar', 'VERB'), ('el', 'DET'), ('inversión', 'NOUN'), (',', 'PUNCT'), ('incluso', 'ADV'), ('mediante', 'ADP'), ('uno', 'DET'), ('mayor', 'ADJ'), ('cooperación', 'NOUN'), ('internacional', 'ADJ'), ('en', 'ADP'), ('infraestructura', 'NOUN'), ('rural', 'ADJ'), ('investigación', 'NOUN'), ('agrícola', 'ADJ'), ('y', 'CCONJ'), ('servicio', 'NOUN'), ('de', 'ADP'), ('extensión', 'NOUN'), ('desarrollo', 'NOUN'), ('tecnológico', 'ADJ'), ('banco', 'NOUN'), ('gen', 'NOUN'), ('planta', 'NOUN'), ('ganar', 'VERB'), ('a', 'ADP'), ('mejorar', 'VERB'), ('capacidad', 'NOUN'), ('producción', 'NOUN'), ('país', 'NOUN'), ('particular', 'NOUN'), ('menos', 'ADV'), ('adelantado', 'ADJ')]"
G2T7,"Poner fin al hambre. Corregir y prevenir las restricciones y distorsiones comerciales en los mercados agropecuarios mundiales, entre otras cosas mediante la eliminación paralela de todas las formas de subvenciones a las exportaciones agrícolas y todas las medidas de exportación con efectos equivalentes, de conformidad con el mandato de la Ronda de Doha para el Desarrollo. Poner fin al hambre","[('poner', 'VERB'), ('fin', 'NOUN'), ('al', 'ADP'), ('hambre', 'NOUN'), ('.', 'PUNCT'), ('corregir', 'VERB'), ('y', 'CCONJ'), ('prevenir', 'VERB'), ('el', 'DET'), ('restricción', 'NOUN'), ('distorsión', 'NOUN'), ('comercial', 'ADJ'), ('en', 'ADP'), ('mercado', 'NOUN'), ('agropecuario', 'ADJ'), ('mundial', 'ADJ'), (',', 'PUNCT'), ('entre', 'ADP'), ('otro', 'DET'), ('cosa', 'NOUN'), ('mediante', 'ADP'), ('eliminación', 'NOUN'), ('paralelo', 'ADJ'), ('de', 'ADP'), ('todo', 'DET'), ('forma', 'NOUN'), ('subvención', 'NOUN'), ('a', 'ADP'), ('exportación', 'NOUN'), ('agrícola', 'ADJ'), ('medida', 'NOUN'), ('con', 'ADP'), ('efecto', 'NOUN'), ('equivalente', 'ADJ'), ('conformidad', 'NOUN'), ('mandato', 'NOUN'), ('Ronda', 'PROPN'), ('Doha', 'PROPN'), ('para', 'ADP'), ('Desarrollo', 'PROPN')]"
G2T8,"Poner fin al hambre. Adoptar medidas para asegurar el buen funcionamiento de los mercados de productos básicos alimentarios y sus derivados y facilitar el acceso oportuno a información sobre los mercados, en particular sobre las reservas de alimentos, a fin de ayudar a limitar la extrema volatilidad de los precios de los alimentos.","[('poner', 'VERB'), ('fin', 'NOUN'), ('al', 'ADP'), ('hambre', 'NOUN'), ('.', 'PUNCT'), ('adoptar', 'VERB'), ('medida', 'NOUN'), ('para', 'ADP'), ('asegurar', 'VERB'), ('el', 'DET'), ('buen', 'ADJ'), ('funcionamiento', 'NOUN'), ('de', 'ADP'), ('mercado', 'NOUN'), ('producto', 'NOUN'), ('básico', 'ADJ'), ('alimentario', 'ADJ'), ('y', 'CCONJ'), ('su', 'DET'), ('derivado', 'NOUN'), ('facilitar', 'VERB'), ('acceso', 'NOUN'), ('oportuno', 'ADJ'), ('a', 'ADP'), ('información', 'NOUN'), ('sobre', 'ADP'), (',', 'PUNCT'), ('en', 'ADP'), ('particular', 'NOUN'), ('reserva', 'NOUN'), ('alimento', 'NOUN'), ('ayudar', 'VERB'), ('limitar', 'VERB'), ('extremo', 'ADJ'), ('volatilidad', 'NOUN'), ('precio', 'NOUN')]"
G3T1,"Garantizar una vida sana y promover el bienestar para todos en todas las edades. Para 2030, reducir la tasa mundial de mortalidad materna a menos de 70 por cada 100.000 nacidos vivos. ","[('garantizar', 'VERB'), ('uno', 'DET'), ('vida', 'NOUN'), ('sano', 'ADJ'), ('y', 'CCONJ'), ('promover', 'VERB'), ('el', 'DET'), ('bienestar', 'NOUN'), ('para', 'ADP'), ('todo', 'PRON'), ('en', 'ADP'), ('todo', 'DET'), ('edad', 'NOUN'), ('.', 'PUNCT'), ('2030', 'NUM'), (',', 'PUNCT'), ('reducir', 'VERB'), ('tasa', 'NOUN'), ('mundial', 'ADJ'), ('de', 'ADP'), ('mortalidad', 'NOUN'), ('materno', 'ADJ'), ('a', 'ADP'), ('menos', 'ADV'), ('70', 'NUM'), ('por', 'ADP'), ('cada', 'NUM'), ('100000', 'NUM'), ('nacido', 'NOUN'), ('vivo', 'ADJ')]"
G3T2,"Garantizar una vida sana y promover el bienestar para todos en todas las edades. Para 2030, poner fin a las muertes evitables de recién nacidos y de niños menores de 5 años, logrando que todos los países intenten reducir la mortalidad neonatal al menos hasta 12 por cada 1.000 nacidos vivos, y la mortalidad de niños menores de 5 años al menos hasta 25 por cada 1.000 nacidos vivos. Garantizar una vida sana y promover el bienestar para todos en todas las edades","[('garantizar', 'VERB'), ('uno', 'DET'), ('vida', 'NOUN'), ('sano', 'ADJ'), ('y', 'CCONJ'), ('promover', 'VERB'), ('el', 'DET'), ('bienestar', 'NOUN'), ('para', 'ADP'), ('todo', 'PRON'), ('en', 'ADP'), ('todo', 'DET'), ('edad', 'NOUN'), ('.', 'PUNCT'), ('2030', 'NUM'), (',', 'PUNCT'), ('poner', 'VERB'), ('fin', 'NOUN'), ('a', 'ADP'), ('muerte', 'NOUN'), ('evitabl', 'ADJ'), ('de', 'ADP'), ('recién', 'ADV'), ('nacido', 'ADJ'), ('niño', 'NOUN'), ('menor', 'ADJ'), ('5', 'NUM'), ('año', 'NOUN'), ('lograr', 'VERB'), ('que', 'SCONJ'), ('país', 'NOUN'), ('intentar', 'VERB'), ('reducir', 'VERB'), ('mortalidad', 'NOUN'), ('neonatal', 'ADJ'), ('al', 'ADP'), ('menos', 'ADV'), ('hasta', 'ADP'), ('12', 'NUM'), ('por', 'ADP'), ('cada', 'NUM'), ('1000', 'NUM'), ('vivo', 'ADJ'), ('25', 'NUM')]"
G3T3,"Garantizar una vida sana y promover el bienestar para todos en todas las edades. Para 2030, poner fin a las epidemias del SIDA, la tuberculosis, la malaria y las enfermedades tropicales desatendidas y combatir la hepatitis, las enfermedades transmitidas por el agua y otras enfermedades transmisibles. Garantizar una vida sana y promover el bienestar para todos en todas las edades","[('garantizar', 'VERB'), ('uno', 'DET'), ('vida', 'NOUN'), ('sano', 'ADJ'), ('y', 'CCONJ'), ('promover', 'VERB'), ('el', 'DET'), ('bienestar', 'NOUN'), ('para', 'ADP'), ('todo', 'PRON'), ('en', 'ADP'), ('todo', 'DET'), ('edad', 'NOUN'), ('.', 'PUNCT'), ('2030', 'NUM'), (',', 'PUNCT'), ('poner', 'VERB'), ('fin', 'NOUN'), ('a', 'ADP'), ('epidemia', 'NOUN'), ('del', 'ADP'), ('SIDA', 'PROPN'), ('tuberculosis', 'NOUN'), ('malaria', 'NOUN'), ('enfermedad', 'NOUN'), ('tropical', 'ADJ'), ('desatendida', 'ADJ'), ('combatir', 'VERB'), ('hepatitis', 'NOUN'), ('transmitido', 'ADJ'), ('por', 'ADP'), ('agua', 'NOUN'), ('otro', 'DET'), ('transmisibl', 'ADJ')]"
G3T4,"Garantizar una vida sana y promover el bienestar para todos en todas las edades. Para 2030, reducir en un tercio la mortalidad prematura por enfermedades no transmisibles mediante la prevención y el tratamiento y promover la salud mental y el bienestar. Garantizar una vida sana y promover el bienestar para todos en todas las edades","[('garantizar', 'VERB'), ('uno', 'DET'), ('vida', 'NOUN'), ('sano', 'ADJ'), ('y', 'CCONJ'), ('promover', 'VERB'), ('el', 'DET'), ('bienestar', 'NOUN'), ('para', 'ADP'), ('todo', 'PRON'), ('en', 'ADP'), ('todo', 'DET'), ('edad', 'NOUN'), ('.', 'PUNCT'), ('2030', 'NUM'), (',', 'PUNCT'), ('reducir', 'VERB'), ('tercio', 'NOUN'), ('mortalidad', 'NOUN'), ('prematuro', 'ADJ'), ('por', 'ADP'), ('enfermedad', 'NOUN'), ('no', 'ADV'), ('transmisibl', 'ADJ'), ('mediante', 'ADP'), ('prevención', 'NOUN'), ('tratamiento', 'NOUN'), ('salud', 'NOUN'), ('mental', 'ADJ')]"
G3T5,"Garantizar una vida sana y promover el bienestar para todos en todas las edades. Fortalecer la prevención y el tratamiento del abuso de sustancias adictivas, incluido el uso indebido de estupefacientes y el consumo nocivo de alcohol. Garantizar una vida sana y promover el bienestar para todos en todas las edades","[('garantizar', 'VERB'), ('uno', 'DET'), ('vida', 'NOUN'), ('sano', 'ADJ'), ('y', 'CCONJ'), ('promover', 'VERB'), ('el', 'DET'), ('bienestar', 'NOUN'), ('para', 'ADP'), ('todo', 'PRON'), ('en', 'ADP'), ('todo', 'DET'), ('edad', 'NOUN'), ('.', 'PUNCT'), ('fortalecer', 'VERB'), ('prevención', 'NOUN'), ('tratamiento', 'NOUN'), ('del', 'ADP'), ('abuso', 'NOUN'), ('de', 'ADP'), ('sustancia', 'NOUN'), ('adictiva', 'ADJ'), (',', 'PUNCT'), ('incluir', 'VERB'), ('uso', 'NOUN'), ('indebido', 'ADJ'), ('estupefaciente', 'NOUN'), ('consumo', 'NOUN'), ('nocivo', 'ADJ'), ('alcohol', 'NOUN')]"
G3T6,"Garantizar una vida sana y promover el bienestar para todos en todas las edades. Para 2020, reducir a la mitad el número de muertes y lesiones causadas por accidentes de tráfico en el mundo. Garantizar una vida sana y promover el bienestar para todos en todas las edades","[('garantizar', 'VERB'), ('uno', 'DET'), ('vida', 'NOUN'), ('sano', 'ADJ'), ('y', 'CCONJ'), ('promover', 'VERB'), ('el', 'DET'), ('bienestar', 'NOUN'), ('para', 'ADP'), ('todo', 'PRON'), ('en', 'ADP'), ('todo', 'DET'), ('edad', 'NOUN'), ('.', 'PUNCT'), ('2020', 'NOUN'), (',', 'PUNCT'), ('reducir', 'VERB'), ('a', 'ADP'), ('mitad', 'NOUN'), ('número', 'NOUN'), ('de', 'ADP'), ('muerte', 'NOUN'), ('lesión', 'NOUN'), ('causado', 'ADJ'), ('por', 'ADP'), ('accidente', 'NOUN'), ('tráfico', 'NOUN'), ('mundo', 'NOUN')]"
