id,ssdg,sdg,text,sentence,word_types,nouns,verbs,adjectives
G11G1,"Since 2000, there has been enormous progress in achieving the target of universal primary education. The total enrollment rate in developing regions reached 91 percent in 2015, and the worldwide number of children out of school has dropped by almost half. There has also been a dramatic increase in literacy rates, and many more girls are in school than ever before. These are all remarkable successes.",Quality Education,quality education since  there has been enormous progress in achieving the target of universal primary education the total enrollment rate in developing regions reached  percent in  and the worldwide number of children out of school has dropped by almost half there has also been a dramatic increase in literacy rates and many more girls are in school than ever before these are all remarkable successes,"['quality', 'education', 'enormous', 'progress', 'target', 'universal', 'primary', 'education', 'total', 'enrollment', 'rate', 'percent', 'worldwide', 'number', 'school', 'half', 'dramatic', 'increase', 'literacy', 'many', 'are', 'school', 'are', 'remarkable']","['NN', 'NN', 'JJ', 'NN', 'NN', 'JJ', 'JJ', 'NN', 'JJ', 'NN', 'NN', 'NN', 'JJ', 'NN', 'NN', 'NN', 'JJ', 'NN', 'NN', 'JJ', 'VBP', 'NN', 'VBP', 'JJ']",14,2,8
G12G2,"Progress has also been tough in some developing regions due to high levels of poverty, armed conflicts and other emergencies. In Western Asia and North Africa, ongoing armed conflict has seen an increase in the number of children out of school. This is a worrying trend. While Sub-Saharan Africa made the greatest progress in primary school enrollment among all developing regions – from 52 percent in 1990, up to 78 percent in 2012 – large disparities still remain. Children from the poorest households are up to four times more likely to be out of school than those of the richest households. Disparities between rural and urban areas also remain high.",Quality Education,quality education progress has also been tough in some developing regions due to high levels of poverty armed conflicts and other emergencies in western asia and north africa ongoing armed conflict has seen an increase in the number of children out of school this is a worrying trend while subsaharan africa made the greatest progress in primary school enrollment among all developing regions – from  percent in  up to  percent in  – large disparities still remain children from the poorest households are up to four times more likely to be out of school than those of the richest households disparities between rural and urban areas also remain high,"['quality', 'education', 'progress', 'tough', 'developing', 'due', 'high', 'poverty', 'other', 'western', 'asia', 'north', 'africa', 'conflict', 'increase', 'number', 'school', 'worrying', 'trend', 'subsaharan', 'progress', 'primary', 'school', 'enrollment', '–', 'percent', 'large', 'remain', 'are', 'likely', 'school', 'rural', 'urban', 'remain', 'high']","['NN', 'NN', 'NN', 'JJ', 'NN', 'JJ', 'JJ', 'NN', 'JJ', 'JJ', 'NN', 'JJ', 'NN', 'NN', 'NN', 'NN', 'NN', 'JJ', 'NN', 'NN', 'NN', 'JJ', 'NN', 'NN', 'VBP', 'NN', 'JJ', 'VBP', 'VBP', 'JJ', 'NN', 'JJ', 'JJ', 'VBP', 'JJ']",18,4,13
G13G3,"Achieving inclusive and quality education for all reaffirms the belief that education is one of the most powerful and proven vehicles for sustainable development. This goal ensures that all girls and boys complete free primary and secondary schooling by 2030. It also aims to provide equal access to affordable vocational training, to eliminate gender and wealth disparities, and achieve universal access to a quality higher education.",Quality Education,quality education achieving inclusive and quality education for all reaffirms the belief that education is one of the most powerful and proven vehicles for sustainable development this goal ensures that all girls and boys complete free primary and secondary schooling by  it also aims to provide equal access to affordable vocational training to eliminate gender and wealth disparities and achieve universal access to a quality higher education,"['quality', 'education', 'inclusive', 'quality', 'education', 'belief', 'education', 'powerful', 'proven', 'sustainable', 'development', 'goal', 'complete', 'free', 'primary', 'secondary', 'schooling', 'equal', 'access', 'affordable', 'vocational', 'training', 'gender', 'wealth', 'achieve', 'universal', 'access', 'quality', 'education']","['NN', 'NN', 'JJ', 'JJ', 'NN', 'NN', 'NN', 'JJ', 'JJ', 'JJ', 'NN', 'NN', 'JJ', 'JJ', 'NN', 'JJ', 'NN', 'JJ', 'NN', 'JJ', 'JJ', 'NN', 'NN', 'NN', 'VBP', 'JJ', 'NN', 'NN', 'NN']",16,1,12
G14G1,"Ending all discrimination against women and girls is not only a basic human right, it’s crucial for sustainable future; it’s proven that empowering women and girls helps economic growth and development.",Gender equality,gender equality ending all discrimination against women and girls is not only a basic human right it’s crucial for sustainable future it’s proven that empowering women and girls helps economic growth and development,"['gender', 'equality', 'discrimination', 'basic', 'human', 'crucial', 'sustainable', 'future', 's', 'proven', 'helps', 'economic', 'growth', 'development']","['NN', 'NN', 'NN', 'JJ', 'NN', 'JJ', 'JJ', 'NN', 'JJ', 'NN', 'VBP', 'JJ', 'NN', 'NN']",8,1,5
G15G2,"UNDP has made gender equality central to its work and we’ve seen remarkable progress in the past 20 years. There are more girls in school now compared to 15 years ago, and most regions have reached gender parity in primary education.",Gender equality,gender equality undp has made gender equality central to its work and we’ve seen remarkable progress in the past  years there are more girls in school now compared to  years ago and most regions have reached gender parity in primary education,"['gender', 'equality', 'undp', 'gender', 'equality', 'central', 'work', '’', 've', 'remarkable', 'progress', 'past', 'are', 'school', 'have', 'gender', 'parity', 'primary', 'education']","['NN', 'NN', 'NN', 'NN', 'NN', 'JJ', 'NN', 'VBP', 'JJ', 'JJ', 'NN', 'JJ', 'VBP', 'NN', 'VBP', 'NN', 'NN', 'JJ', 'NN']",11,3,5
G16G3,"But although there are more women than ever in the labour market, there are still large inequalities in some regions, with women systematically denied the same work rights as men. Sexual violence and exploitation, the unequal division of unpaid care and domestic work, and discrimination in public office all remain huge barriers. Climate change and disasters continue to have a disproportionate effect on women and children, as do conflict and migration.",Gender equality,gender equality but although there are more women than ever in the labour market there are still large inequalities in some regions with women systematically denied the same work rights as men sexual violence and exploitation the unequal division of unpaid care and domestic work and discrimination in public office all remain huge barriers climate change and disasters continue to have a disproportionate effect on women and children as do conflict and migration,"['gender', 'equality', 'are', 'labour', 'market', 'are', 'large', 'same', 'work', 'sexual', 'violence', 'exploitation', 'unequal', 'division', 'unpaid', 'care', 'domestic', 'work', 'discrimination', 'public', 'office', 'remain', 'huge', 'climate', 'change', 'continue', 'disproportionate', 'effect', 'do', 'conflict', 'migration']","['NN', 'NN', 'VBP', 'NN', 'NN', 'VBP', 'JJ', 'JJ', 'NN', 'JJ', 'NN', 'NN', 'JJ', 'NN', 'JJ', 'NN', 'JJ', 'NN', 'NN', 'JJ', 'NN', 'VBP', 'JJ', 'VBP', 'NN', 'VBP', 'JJ', 'NN', 'VBP', 'NN', 'NN']",16,6,9
G17G4,"It is vital to give women equal rights land and property, sexual and reproductive health, and to technology and the internet. Today there are more women in public office than ever before, but encouraging more women leaders will help achieve greater gender equality.",Gender equality,gender equality it is vital to give women equal rights land and property sexual and reproductive health and to technology and the internet today there are more women in public office than ever before but encouraging more women leaders will help achieve greater gender equality,"['gender', 'equality', 'vital', 'equal', 'land', 'property', 'sexual', 'reproductive', 'health', 'technology', 'internet', 'today', 'are', 'public', 'office', 'gender', 'equality']","['NN', 'NN', 'JJ', 'JJ', 'NN', 'NN', 'JJ', 'JJ', 'NN', 'NN', 'NN', 'NN', 'VBP', 'JJ', 'NN', 'NN', 'NN']",11,1,5
G18G1,"Water scarcity affects more than 40 percent of people, an alarming figure that is projected to rise as temperatures do. Although 2.1 billion people have improved water sanitation since 1990, dwindling drinking water supplies are affecting every continent.",Clean water and sanitation,clean water and sanitation water scarcity affects more than  percent of people an alarming figure that is projected to rise as temperatures do although  billion people have improved water sanitation since  dwindling drinking water supplies are affecting every continent,"['clean', 'water', 'sanitation', 'water', 'scarcity', 'percent', 'alarming', 'figure', 'do', 'have', 'water', 'sanitation', 'drinking', 'water', 'are', 'continent']","['JJ', 'NN', 'NN', 'NN', 'NN', 'NN', 'JJ', 'NN', 'VBP', 'VBP', 'NN', 'NN', 'NN', 'NN', 'VBP', 'NN']",11,3,2
G19G2,"More and more countries are experiencing water stress, and increasing drought and desertification is already worsening these trends. By 2050, it is projected that at least one in four people will suffer recurring water shortages.",Clean water and sanitation,clean water and sanitation more and more countries are experiencing water stress and increasing drought and desertification is already worsening these trends by  it is projected that at least one in four people will suffer recurring water shortages,"['clean', 'water', 'sanitation', 'are', 'water', 'stress', 'drought', 'desertification', 'water']","['JJ', 'NN', 'NN', 'VBP', 'NN', 'NN', 'NN', 'NN', 'NN']",7,1,1
G20G3,"Safe and affordable drinking water for all by 2030 requires we invest in adequate infrastructure, provide sanitation facilities, and encourage hygiene. Protecting and restoring water-related ecosystems is essential.",Clean water and sanitation,clean water and sanitation safe and affordable drinking water for all by  requires we invest in adequate infrastructure provide sanitation facilities and encourage hygiene protecting and restoring waterrelated ecosystems is essential,"['clean', 'water', 'sanitation', 'safe', 'affordable', 'drinking', 'water', 'invest', 'adequate', 'infrastructure', 'provide', 'sanitation', 'hygiene', 'waterrelated', 'essential']","['JJ', 'NN', 'NN', 'JJ', 'JJ', 'NN', 'NN', 'VBP', 'JJ', 'NN', 'VBP', 'NN', 'NN', 'JJ', 'JJ']",7,2,6
G21G4,Ensuring universal safe and affordable drinking water involves reaching over 800 million people who lack basic services and improving accessibility and safety of services for over two billion.,Clean water and sanitation,clean water and sanitation ensuring universal safe and affordable drinking water involves reaching over  million people who lack basic services and improving accessibility and safety of services for over two billion,"['clean', 'water', 'sanitation', 'universal', 'safe', 'affordable', 'drinking', 'water', 'lack', 'basic', 'accessibility', 'safety']","['JJ', 'NN', 'NN', 'JJ', 'JJ', 'JJ', 'NN', 'NN', 'VBP', 'JJ', 'NN', 'NN']",6,1,5
G22G5,"In 2015, 4.5 billion people lacked safely managed sanitation services (with adequately disposed or treated excreta) and 2.3 billion lacked even basic sanitation.",Clean water and sanitation,clean water and sanitation in   billion people lacked safely managed sanitation services (with adequately disposed or treated excreta) and  billion lacked even basic sanitation,"['clean', 'water', 'sanitation', 'sanitation', 'excreta', 'basic', 'sanitation']","['JJ', 'NN', 'NN', 'NN', 'NN', 'JJ', 'NN']",5,0,2
G23G1,"Between 2000 and 2018, the number of people with electricity increased from 78 to 90 percent, and the numbers without electricity dipped to 789 million.",Affordable and clean energy,affordable and clean energy between  and  the number of people with electricity increased from  to  percent and the numbers without electricity dipped to  million,"['affordable', 'clean', 'energy', 'number', 'electricity', 'percent', 'electricity']","['JJ', 'JJ', 'NN', 'NN', 'NN', 'NN', 'NN']",5,0,2
G24G2,"Yet as the population continues to grow, so will the demand for cheap energy, and an economy reliant on fossil fuels is creating drastic changes to our climate.",Affordable and clean energy,affordable and clean energy yet as the population continues to grow so will the demand for cheap energy and an economy reliant on fossil fuels is creating drastic changes to our climate,"['affordable', 'clean', 'energy', 'population', 'demand', 'cheap', 'energy', 'economy', 'reliant', 'fossil', 'drastic', 'climate']","['JJ', 'JJ', 'NN', 'NN', 'NN', 'JJ', 'NN', 'NN', 'NN', 'JJ', 'JJ', 'NN']",7,0,5
G25G3,"Investing in solar, wind and thermal power, improving energy productivity, and ensuring energy for all is vital if we are to achieve SDG 7 by 2030.",Affordable and clean energy,affordable and clean energy investing in solar wind and thermal power improving energy productivity and ensuring energy for all is vital if we are to achieve sdg  by ,"['affordable', 'clean', 'energy', 'solar', 'wind', 'thermal', 'power', 'energy', 'productivity', 'energy', 'vital', 'are', 'sdg']","['JJ', 'JJ', 'NN', 'JJ', 'NN', 'JJ', 'NN', 'NN', 'NN', 'NN', 'JJ', 'VBP', 'NN']",7,1,5
G26G4,Expanding infrastructure and upgrading technology to provide clean and more efficient energy in all countries will encourage growth and help the environment.  ,Affordable and clean energy,affordable and clean energy expanding infrastructure and upgrading technology to provide clean and more efficient energy in all countries will encourage growth and help the environment  ,"['affordable', 'clean', 'energy', 'infrastructure', 'technology', 'clean', 'efficient', 'energy', 'growth', 'environment']","['JJ', 'JJ', 'NN', 'NN', 'NN', 'JJ', 'JJ', 'NN', 'NN', 'NN']",6,0,4
G27G1,"Over the past 25 years the number of workers living in extreme poverty has declined dramatically, despite the lasting impact of the 2008 economic crisis and global recession. In developing countries, the middle class now makes up more than 34 percent of total employment – a number that has almost tripled between 1991 and 2015.",Decent work and economic growth,decent work and economic growth over the past  years the number of workers living in extreme poverty has declined dramatically despite the lasting impact of the  economic crisis and global recession in developing countries the middle class now makes up more than  percent of total employment – a number that has almost tripled between  and ,"['decent', 'work', 'economic', 'growth', 'past', 'number', 'extreme', 'poverty', 'lasting', 'impact', 'economic', 'crisis', 'global', 'recession', 'middle', 'class', 'percent', 'total', 'employment', 'number']","['JJ', 'NN', 'JJ', 'NN', 'JJ', 'NN', 'JJ', 'NN', 'JJ', 'NN', 'JJ', 'NN', 'JJ', 'NN', 'JJ', 'NN', 'NN', 'JJ', 'NN', 'NN']",11,0,9
G28G2,"However, as the global economy continues to recover we are seeing slower growth, widening inequalities, and not enough jobs to keep up with a growing labour force. According to the International Labour Organization, more than 204 million people were unemployed in 2015.",Decent work and economic growth,decent work and economic growth however as the global economy continues to recover we are seeing slower growth widening inequalities and not enough jobs to keep up with a growing labour force according to the international labour organization more than  million people were unemployed in ,"['decent', 'work', 'economic', 'growth', 'global', 'economy', 'are', 'growth', 'labour', 'force', 'international', 'labour', 'organization']","['JJ', 'NN', 'JJ', 'NN', 'JJ', 'NN', 'VBP', 'NN', 'JJ', 'NN', 'JJ', 'JJ', 'NN']",6,1,6
G29G3,"The SDGs promote sustained economic growth, higher levels of productivity and technological innovation. Encouraging entrepreneurship and job creation are key to this, as are effective measures to eradicate forced labour, slavery and human trafficking. With these targets in mind, the goal is to achieve full and productive employment, and decent work, for all women and men by 2030.",Decent work and economic growth,decent work and economic growth the sdgs promote sustained economic growth higher levels of productivity and technological innovation encouraging entrepreneurship and job creation are key to this as are effective measures to eradicate forced labour slavery and human trafficking with these targets in mind the goal is to achieve full and productive employment and decent work for all women and men by ,"['decent', 'work', 'economic', 'growth', 'sdgs', 'promote', 'economic', 'growth', 'productivity', 'technological', 'innovation', 'entrepreneurship', 'job', 'creation', 'are', 'key', 'are', 'effective', 'labour', 'slavery', 'human', 'mind', 'goal', 'full', 'productive', 'employment', 'decent', 'work']","['JJ', 'NN', 'JJ', 'NN', 'JJ', 'NN', 'JJ', 'NN', 'NN', 'JJ', 'NN', 'NN', 'NN', 'NN', 'VBP', 'JJ', 'VBP', 'JJ', 'JJ', 'NN', 'JJ', 'NN', 'NN', 'JJ', 'JJ', 'NN', 'JJ', 'NN']",14,2,12
G30G1,"Investment in infrastructure and innovation are crucial drivers of economic growth and development. With over half the world population now living in cities, mass transport and renewable energy are becoming ever more important, as are the growth of new industries and information and communication technologies.","Industry, innovation and infraestructure",industry innovation and infraestructure investment in infrastructure and innovation are crucial drivers of economic growth and development with over half the world population now living in cities mass transport and renewable energy are becoming ever more important as are the growth of new industries and information and communication technologies,"['industry', 'innovation', 'infraestructure', 'investment', 'infrastructure', 'innovation', 'are', 'crucial', 'economic', 'growth', 'development', 'world', 'population', 'mass', 'transport', 'renewable', 'energy', 'are', 'important', 'are', 'growth', 'new', 'information', 'communication']","['NN', 'NN', 'NN', 'NN', 'NN', 'NN', 'VBP', 'JJ', 'JJ', 'NN', 'NN', 'NN', 'NN', 'VBP', 'NN', 'JJ', 'NN', 'VBP', 'JJ', 'VBP', 'NN', 'JJ', 'NN', 'NN']",15,4,5
G31G2,"Technological progress is also key to finding lasting solutions to both economic and environmental challenges, such as providing new jobs and promoting energy efficiency. Promoting sustainable industries, and investing in scientific research and innovation, are all important ways to facilitate sustainable development.","Industry, innovation and infraestructure",industry innovation and infraestructure technological progress is also key to finding lasting solutions to both economic and environmental challenges such as providing new jobs and promoting energy efficiency promoting sustainable industries and investing in scientific research and innovation are all important ways to facilitate sustainable development,"['industry', 'innovation', 'infraestructure', 'technological', 'progress', 'key', 'lasting', 'economic', 'environmental', 'such', 'new', 'energy', 'efficiency', 'sustainable', 'scientific', 'research', 'innovation', 'are', 'important', 'sustainable', 'development']","['NN', 'NN', 'NN', 'JJ', 'NN', 'JJ', 'JJ', 'JJ', 'JJ', 'JJ', 'JJ', 'NN', 'NN', 'JJ', 'JJ', 'NN', 'NN', 'VBP', 'JJ', 'JJ', 'NN']",9,1,11
G32G3,"More than 4 billion people still do not have access to the Internet, and 90 percent are from the developing world. Bridging this digital divide is crucial to ensure equal access to information and knowledge, as well as foster innovation and entrepreneurship.","Industry, innovation and infraestructure",industry innovation and infraestructure more than  billion people still do not have access to the internet and  percent are from the developing world bridging this digital divide is crucial to ensure equal access to information and knowledge as well as foster innovation and entrepreneurship,"['industry', 'innovation', 'infraestructure', 'do', 'access', 'internet', 'percent', 'are', 'world', 'bridging', 'digital', 'divide', 'crucial', 'equal', 'access', 'information', 'knowledge', 'foster', 'innovation', 'entrepreneurship']","['NN', 'NN', 'NN', 'VBP', 'NN', 'NN', 'NN', 'VBP', 'NN', 'NN', 'JJ', 'NN', 'JJ', 'JJ', 'NN', 'NN', 'NN', 'JJ', 'NN', 'NN']",14,2,4
G33G1,"Income inequality is on the rise—the richest 10 percent have up to 40 percent of global income whereas the poorest 10 percent earn only between 2 to 7 percent. If we take into account population growth inequality in developing countries, inequality has increased by 11 percent.",Reduced inequalites,reduced inequalites income inequality is on the rise—the richest  percent have up to  percent of global income whereas the poorest  percent earn only between  to  percent if we take into account population growth inequality in developing countries inequality has increased by  percent,"['income', 'inequality', 'rise—the', 'percent', 'have', 'percent', 'global', 'income', 'percent', 'earn', 'take', 'account', 'population', 'growth', 'inequality', 'inequality', 'percent']","['NN', 'NN', 'NN', 'NN', 'VBP', 'NN', 'JJ', 'NN', 'NN', 'NN', 'VBP', 'NN', 'NN', 'NN', 'NN', 'NN', 'NN']",14,2,1
G34G2,"Income inequality has increased in nearly everywhere in recent decades, but at different speeds. It’s lowest in Europe and highest in the Middle East.",Reduced inequalites,reduced inequalites income inequality has increased in nearly everywhere in recent decades but at different speeds it’s lowest in europe and highest in the middle east,"['income', 'inequality', 'recent', 'different', 's', 'europe', 'middle', 'east']","['NN', 'NN', 'JJ', 'JJ', 'JJ', 'NN', 'JJ', 'NN']",4,0,4
G35G3,"These widening disparities require sound policies to empower lower income earners, and promote economic inclusion of all regardless of sex, race or ethnicity.",Reduced inequalites,reduced inequalites these widening disparities require sound policies to empower lower income earners and promote economic inclusion of all regardless of sex race or ethnicity,"['require', 'sound', 'income', 'economic', 'inclusion', 'regardless', 'sex', 'race', 'ethnicity']","['VBP', 'JJ', 'NN', 'JJ', 'NN', 'NN', 'NN', 'NN', 'NN']",6,1,2
